Employee ID,Name,Gender,Age,Department,Job Title,Salary,Education,Marital Status,Date of Joining,Last Working Day,Employment Status,Reason for Leaving,Performance Score,Years at Company,Number of Projects,Promotion in Last 5 Years
7660,Colin Morrow,Male,55,IT,Analyst,66930,Bachelors,Divorced,2/24/2017,,Active,,Average,8,8,No
8890,Kelly Ferguson,Female,22,Sales,Analyst,47146,Masters,Single,8/19/2019,,Active,,Poor,6,9,Yes
1865,Juan Evans,Male,43,IT,Assistant,46704,High School,Married,11/16/2023,,Active,,Excellent,5,4,Yes
5730,,Other,29,Finance,Executive,53206,PhD,Single,3/11/2019,6/9/2020,Terminated,Personal Reasons,Good,4,3,Yes
6911,Erika Nguyen,Female,42,Marketing,Executive,59219,High School,Divorced,8/16/2022,10/16/2024,Terminated,Better Opportunity,Excellent,4,6,No
1192,Karla Zhang,Female,31,Marketing,Manager,44208,PhD,Married,10/23/2015,,Active,,Average,6,10,Yes
2167,Margaret Richardson,Male,53,Finance,Analyst,86531,High School,Divorced,2/2/2020,,Active,,Poor,5,11,Yes
8427,Kenneth Berry,Female,38,IT,Executive,85108,PhD,Divorced,3/6/2023,,Active,,Good,9,10,No
9387,Kevin Melendez,Other,58,Operations,Assistant,87905,PhD,Divorced,3/28/2017,5/7/2018,Terminated,Termination,Good,10,2,No
2300,Sarah Young,Male,39,Finance,Executive,49313,High School,Single,9/12/2022,7/19/2023,Terminated,Retirement,Excellent,7,7,Yes
8822,Kathryn Vazquez,Other,20,HR,Assistant,58683,Bachelors,Divorced,9/13/2020,,Active,,Excellent,8,4,Yes
9791,Jesse Jarvis,Other,40,Admin,Lead,96162,PhD,Divorced,9/13/2016,,Active,,Good,7,8,No
8227,Brett Cruz,Female,60,Finance,Analyst,87654,High School,Divorced,11/2/2022,4/22/2023,Terminated,Better Opportunity,Average,8,2,Yes
4332,Paula Edwards,Female,46,Operations,Lead,91069,PhD,Single,1/13/2024,5/12/2024,Terminated,Personal Reasons,Poor,0,14,No
3371,Tanya Barnes,Female,54,Finance,Assistant,58760,Masters,Married,7/20/2023,,Active,,Below Average,5,11,No
3596,Michael Henry,Other,21,R&D,Lead,103975,High School,Single,9/10/2018,,Active,,Good,7,3,Yes
3907,Brittany Mercer,Female,37,R&D,Analyst,40735,PhD,Single,8/19/2022,,Active,,Excellent,5,4,Yes
6711,Miss Victoria Stark,Male,21,IT,Executive,46544,PhD,Divorced,2/5/2019,1/31/2023,Active,,Below Average,4,13,No
6304,Rebecca Ramsey,Male,39,HR,Lead,33365,Masters,Divorced,7/6/2015,,Active,,Below Average,6,12,Yes
8862,Brian Chung,Female,58,hr,Lead,35383,Masters,Divorced,10/1/2016,,Active,,Average,1,9,No
9339,Barry Bond,Female,29,R&D,Executive,98386,Masters,Divorced,10/6/2017,,Active,,Poor,7,8,No
6312,Alyssa Newton,Male,37,Admin,Executive,90910,PhD,Married,4/13/2015,11/25/2015,Terminated,Lack of Growth,Below Average,3,6,No
9389,,Male,53,Finance,Manager,61635,PhD,Married,4/12/2021,,Active,,Good,7,11,No
8819,Rebecca Ryan,Male,39,Operations,Assistant,102544,Masters,Married,9/18/2016,,Active,,Poor,5,6,No
3069,Patricia Paul,Male,54,IT,Executive,58361,PhD,Married,4/10/2016,,Active,,Poor,9,5,Yes
6502,James Lee,Other,54,IT,Analyst,35965,High School,Divorced,5/10/2020,4/26/2022,Active,,Below Average,1,14,Yes
5124,Ryan Rivas,Male,36,Admin,Manager,38564,PhD,Married,12/29/2018,12/26/2022,Resigned,Termination,Excellent,2,3,No
3080,David Walker,Other,59,Finance,Lead,79856,PhD,Married,12/30/2019,1/12/2021,Resigned,Personal Reasons,Average,9,10,Yes
1316,Tracy Robinson,Male,36,HR,Executive,61439,Bachelors,Divorced,2/25/2019,1/24/2020,Active,,Below Average,7,12,No
4321,Samuel Kramer,Female,24,Finance,Analyst,111927,Bachelors,Married,7/31/2021,1/18/2023,Active,,Good,4,14,Yes
9545,Zachary Odom,Other,38,Admin,Manager,91433,Masters,Divorced,1/9/2016,,Active,,Average,8,9,No
4717,Jack Knight,Other,36,Sales,Manager,60005,High School,Divorced,2/28/2016,,Active,,Poor,0,13,Yes
5187,Kevin Montgomery,Other,47,Admin,Manager,91605,Masters,Married,5/14/2021,,Active,,Excellent,2,6,No
4620,Marie Buchanan,Other,22,Admin,Manager,71224,Masters,Married,2/2/2023,10/18/2024,Terminated,Retirement,Excellent,10,14,No
7224,Patricia Phillips,Other,48,Sales,Executive,,Bachelors,Married,10/19/2015,,Active,,Below Average,1,1,Yes
8273,Devin Dawson,Male,27,Admin,Manager,114896,Bachelors,Married,2/16/2016,,Active,,Average,8,12,No
7099,Dawn Scott,Male,44,Finance,Lead,96616,Bachelors,Single,3/16/2022,6/19/2024,Terminated,Better Opportunity,Poor,4,14,Yes
1251,Devon Simmons,Female,29,Admin,Lead,93483,Masters,Married,2/24/2022,,Active,,Poor,6,8,No
9181,John Lopez,Female,22,Operations,Coordinator,91993,PhD,Married,3/19/2016,,Active,,Good,7,1,Yes
2446,Brandy Velez,Female,26,Admin,Manager,48894,PhD,Divorced,1/20/2024,,Active,,Excellent,7,13,No
8756,Matthew Simpson,Other,54,R&D,Analyst,112155,PhD,Divorced,3/10/2024,11/12/2024,Active,,Good,10,11,No
1518,Jacob Wong,Other,26,Admin,Executive,69251,High School,Single,5/1/2022,,Active,,Excellent,4,6,No
4230,Samantha Burton,Male,30,IT,Manager,109887,unknown,Divorced,5/1/2016,,Active,,Below Average,9,3,Yes
6562,Nathan Roth,Female,38,IT,Manager,87898,Masters,Divorced,1/15/2020,9/29/2022,Terminated,Termination,Average,7,14,No
3012,Kelly Travis,Other,42,Marketing,Coordinator,68696,High School,Divorced,8/11/2022,,Active,,Excellent,9,14,Yes
5415,Dawn Espinoza,Male,58,Operations,Executive,113442,Bachelors,Divorced,9/24/2020,10/19/2024,Resigned,Termination,Good,10,2,Yes
2758,Craig Pittman,Male,38,Operations,Coordinator,84460,Bachelors,Single,6/3/2019,5/6/2023,Resigned,Better Opportunity,Poor,8,15,No
5728,,Female,41,HR,Assistant,39869,Bachelors,Single,11/30/2015,,Active,,Below Average,8,6,Yes
4957,Calvin Bowman,Other,36,R&D,Coordinator,78689,High School,Divorced,6/18/2021,10/15/2023,Active,,Poor,8,6,Yes
2228,Lisa Young,Other,46,HR,Executive,35943,High School,Married,1/27/2018,,Active,,Excellent,1,4,Yes
4402,Melissa Hoover,Other,46,IT,Assistant,115841,High School,Married,2/10/2018,,Active,,Average,0,12,No
1788,Jacqueline Glenn,Other,43,Operations,Manager,,Masters,Single,2/10/2021,,Active,,Below Average,1,11,Yes
1524,Jessica Garza,Male,28,Finance,Manager,102641,Bachelors,Divorced,1/3/2021,7/5/2023,Active,,Average,2,13,Yes
7236,Alan Pierce,Male,27,Sales,Executive,31947,Masters,Single,7/27/2021,,Active,,Excellent,2,5,Yes
7501,Brooke Thomas,Female,43,HR,Assistant,96039,Bachelors,Divorced,4/3/2020,2/26/2024,Resigned,Retirement,Average,7,11,Yes
2054,Natasha Fields,Female,48,HR,Manager,72219,Bachelors,Single,12/3/2016,1/29/2024,Resigned,Termination,Poor,8,12,No
2803,Cheryl Lopez,Female,26,HR,Coordinator,115316,Bachelors,Married,6/5/2021,,Active,,Good,6,6,No
2679,Kelly Bartlett,Female,43,IT,Coordinator,92163,High School,Single,3/21/2021,,Active,,Excellent,6,2,No
1303,Dawn Jones,Female,27,R&D,Analyst,117207,PhD,Divorced,5/12/2022,11/11/2024,Terminated,Retirement,Average,5,2,Yes
2359,Jeanette Brooks,Other,43,HR,Analyst,105248,Bachelors,Married,11/5/2023,,Active,,Poor,9,11,Yes
9998,Jason Yang DDS,Female,39,Operations,Analyst,30800,Bachelors,Single,9/23/2022,,Active,,Below Average,1,3,Yes
2976,Laura Hernandez,Male,43,Marketing,Coordinator,72517,High School,Single,2/5/2019,10/26/2019,Resigned,Career Change,Excellent,4,8,No
7892,David Cantu,Male,42,r&d,Manager,67125,PhD,Divorced,11/8/2019,,Active,,Excellent,3,7,Yes
9710,Amanda Burch,Female,27,Sales,Assistant,86446,unknown,Single,11/19/2018,,Active,,Good,8,9,No
8213,Barry Navarro MD,Male,40,R&D,Lead,83008,PhD,Married,12/22/2021,12/2/2024,Active,,Average,2,13,No
7012,Karen Velez,Male,47,R&D,Lead,40308,PhD,Married,2/6/2024,,Active,,Good,5,13,Yes
7185,Tonya Valencia,Female,42,IT,Executive,43474,Bachelors,Married,8/11/2021,4/15/2022,Resigned,Lack of Growth,Excellent,2,13,No
3300,Paul Banks,Other,60,Operations,Coordinator,71436,Bachelors,Married,4/23/2023,7/12/2023,Terminated,Termination,Average,4,10,Yes
7060,Rachel Bradley,Female,38,HR,Coordinator,41835,PhD,Married,10/19/2015,,Active,,Excellent,7,15,Yes
3748,Danielle Eaton,Male,41,HR,Lead,114689,Bachelors,Single,8/10/2021,7/23/2024,Terminated,Personal Reasons,Poor,8,10,Yes
7933,Ashley Decker,Other,58,Sales,Coordinator,114843,Masters,Single,8/8/2017,,Active,,Poor,10,7,No
9190,Christopher Smith,Male,41,HR,Lead,116980,Bachelors,Married,1/1/2023,,Active,,Below Average,2,10,Yes
2240,Kelly Brown,Other,53,HR,Coordinator,117878,PhD,Divorced,11/21/2019,,Active,,Average,4,3,Yes
3435,John Walter PhD,Male,24,Marketing,Manager,96543,High School,Divorced,6/13/2018,,Active,,Poor,2,10,No
8303,Samantha Taylor,Male,48,Sales,Assistant,77749,Bachelors,Married,3/6/2019,,Active,,Below Average,3,9,Yes
3457,Bianca Obrien DVM,Female,56,Admin,Assistant,66932,PhD,Divorced,4/3/2021,,Active,,Good,3,13,Yes
9989,Richard Brooks,Male,53,HR,Analyst,40993,Bachelors,Married,7/22/2023,,Active,,Poor,2,14,No
5027,Tasha Jones MD,Male,46,Sales,Assistant,95799,Masters,Single,3/3/2018,,Active,,Excellent,5,4,Yes
1276,Nathan Rogers,Male,28,sales,Analyst,91925,Bachelors,Divorced,6/1/2016,,Active,,Poor,0,15,Yes
2358,,Female,27,Marketing,Executive,69472,High School,Single,6/10/2022,4/14/2023,Resigned,Retirement,Below Average,1,2,No
8254,Derek Petty,Male,38,R&D,Manager,110584,Masters,Single,10/7/2020,,Active,,Good,10,11,Yes
5435,David Chandler,Other,55,Sales,Assistant,91621,High School,Divorced,1/14/2024,,Active,,Average,4,12,Yes
7861,Erica Newman,Male,57,Operations,Executive,35811,Masters,Divorced,3/28/2021,,Active,,Good,10,8,No
2352,Nicole Harmon,Female,22,Marketing,Executive,35741,Bachelors,Single,12/2/2018,,Active,,Average,8,7,No
5119,Timothy Miller,Male,41,Marketing,Manager,78237,PhD,Married,12/2/2015,,Active,,Below Average,5,3,No
8995,Sara Chapman,Male,47,HR,Assistant,108964,Bachelors,Divorced,12/21/2021,1/7/2023,Active,,Excellent,5,11,No
7516,John Ferguson,Female,48,Sales,Coordinator,76210,PhD,Married,12/20/2020,,Active,,Excellent,1,11,No
7161,Mark Love,Male,58,Admin,Manager,46545,High School,Single,12/25/2018,,Active,,Average,5,7,Yes
5171,Amanda Dillon,Male,56,IT,Lead,78096,PhD,Married,3/7/2019,,Active,,Good,1,1,Yes
6242,Joshua Vega,Female,48,Finance,Lead,67431,PhD,Single,5/25/2021,9/30/2024,Active,,Below Average,2,15,No
7541,Travis Hudson,Other,42,HR,Lead,101063,Masters,Married,8/20/2018,,Active,,Good,5,9,Yes
9800,Patrick Davidson,Male,43,Operations,Assistant,102305,Bachelors,Divorced,3/10/2023,,Active,,Excellent,4,7,No
5038,Amanda Trujillo,Female,24,Admin,Assistant,119143,Masters,Single,9/24/2021,,Active,,Poor,10,10,Yes
2755,Christopher Moore,Male,53,IT,Analyst,51581,Bachelors,Married,7/16/2023,,Active,,Good,5,9,No
9715,Paul Sweeney,Male,60,Marketing,Lead,99924,High School,Divorced,8/11/2021,,Active,,Poor,9,3,Yes
6708,Sarah Shannon DDS,Other,22,Sales,Manager,35958,Masters,Divorced,10/9/2018,6/19/2021,Resigned,Personal Reasons,Poor,10,1,No
7667,Kristine Walter,Male,45,Marketing,Assistant,39564,High School,Single,12/19/2020,,Active,,Below Average,7,4,No
1560,Jessica Frederick,Female,45,IT,Analyst,97499,High School,Married,1/24/2018,5/13/2024,Active,,Average,7,4,Yes
9261,Wendy Shaffer,Male,30,Operations,Lead,70988,Bachelors,Single,1/4/2016,,Active,,Poor,7,8,No
9941,Suzanne Obrien,Male,33,Operations,Manager,36624,Masters,Married,11/20/2022,,Active,,Below Average,4,9,Yes
4479,Mr. Brandon Knox DDS,Female,43,Sales,Assistant,36705,Bachelors,Married,2/17/2022,,Active,,Excellent,6,9,No
2599,,Male,28,HR,Assistant,78915,Masters,Divorced,8/25/2023,,Active,,Good,3,10,No
3344,Philip King MD,Female,53,Admin,Executive,109463,Bachelors,Married,2/4/2016,,Active,,Average,2,7,No
6263,Meghan Watson,Other,39,Admin,Manager,78281,Masters,Divorced,7/8/2020,1/28/2021,Terminated,Retirement,Average,10,1,No
3749,Jason Rivera,Male,23,Admin,Executive,98712,PhD,Single,12/9/2023,,Active,,Good,0,10,Yes
5568,Scott Leonard,Male,46,Admin,Coordinator,38163,Bachelors,Divorced,7/13/2018,5/26/2023,Terminated,Termination,Below Average,8,7,No
5408,Francisco Vaughn,Other,36,Admin,Executive,62311,Masters,Divorced,1/13/2020,10/30/2023,Terminated,Better Opportunity,Good,7,6,No
9639,Amy Brown,Male,56,R&D,Assistant,75237,Bachelors,Married,4/14/2019,8/28/2022,Resigned,Career Change,Average,7,11,No
1083,Courtney James,Other,37,IT,Manager,110698,Bachelors,Single,2/5/2020,4/11/2023,Resigned,Lack of Growth,Good,0,2,No
1305,Shane Lopez,Other,30,R&D,Coordinator,92350,PhD,Divorced,11/24/2019,5/23/2024,Terminated,Better Opportunity,Average,10,1,Yes
3698,Steven Sanders,Male,31,R&D,Executive,34763,PhD,Married,9/14/2017,12/30/2024,Resigned,Better Opportunity,Excellent,0,5,Yes
4816,Betty Rosario,Other,51,IT,Lead,,Masters,Single,5/9/2017,,Active,,Average,2,12,No
3363,Dr. Madison Hardin DVM,Female,56,Finance,Executive,110079,PhD,Married,11/8/2021,,Active,,Excellent,6,11,Yes
6042,Jordan Clark,Female,44,Finance,Assistant,64995,Masters,Married,6/30/2020,,Active,,Poor,0,5,No
5919,Alexa Miller,Female,52,Marketing,Coordinator,45389,Masters,Married,9/28/2017,,Active,,Good,2,8,Yes
9330,Catherine Chavez,Female,54,Finance,Executive,119173,High School,Divorced,10/8/2021,,Active,,Average,1,15,Yes
2746,Lacey Hanson,Male,30,Operations,Lead,87912,High School,Divorced,12/28/2018,10/9/2021,Resigned,Personal Reasons,Excellent,8,8,Yes
8266,Sarah Nelson,Female,39,Sales,Assistant,63352,High School,Divorced,4/15/2018,1/5/2024,Active,,Excellent,6,6,Yes
9661,Dennis Salazar,Female,22,Marketing,Assistant,53590,Bachelors,Divorced,3/22/2024,,Active,,Below Average,5,15,No
6059,Alyssa Roberts,Other,54,IT,Coordinator,75582,High School,Single,1/21/2019,,Active,,Below Average,8,3,Yes
2662,Kayla Martinez,Other,54,R&D,Lead,79712,Bachelors,Single,7/13/2022,,Active,,Good,4,4,Yes
4681,Regina Powell,Male,33,HR,Manager,107849,High School,Married,10/14/2022,,Active,,Excellent,3,12,Yes
8173,Stephen Hall,Male,28,Marketing,Executive,105511,Masters,Divorced,5/24/2020,,Active,,Average,3,5,Yes
2444,Ian Smith,Other,57,IT,Coordinator,118965,PhD,Divorced,12/26/2022,,Active,,Average,10,11,No
1177,Karen Diaz,Female,31,Admin,Executive,59536,Masters,Divorced,10/1/2022,6/5/2024,Terminated,Career Change,Poor,6,7,Yes
7216,William Martin,Female,43,HR,Lead,54966,High School,Married,9/5/2017,,Active,,Poor,9,1,Yes
6616,Lisa Smith,Female,33,Operations,Analyst,32009,Bachelors,Single,12/11/2019,,Active,,Excellent,7,15,Yes
4083,Catherine Salas,Female,38,R&D,Assistant,99946,Masters,Married,9/20/2019,10/15/2021,Resigned,Personal Reasons,Below Average,1,13,No
7288,April Hernandez,Male,56,Finance,Coordinator,49126,High School,Married,9/10/2016,,Active,,Poor,9,12,No
2502,Jacob Burnett,Male,51,Operations,Analyst,94044,PhD,Married,12/22/2019,1/1/2023,Terminated,Lack of Growth,Good,8,8,Yes
8377,Timothy Padilla,Male,24,Sales,Manager,84053,Bachelors,Divorced,4/3/2023,12/15/2023,Resigned,Lack of Growth,Excellent,3,9,No
6316,Melanie Green,Female,51,Sales,Manager,99758,PhD,Single,3/8/2020,12/14/2020,Resigned,Better Opportunity,Poor,4,1,No
4085,Richard Turner,Male,35,Finance,Lead,99003,Masters,Married,12/4/2016,5/14/2023,Terminated,Career Change,Average,6,8,Yes
8177,William Pratt,Other,22,HR,Assistant,79710,PhD,Divorced,2/28/2018,,Active,,Excellent,2,2,No
9850,Lorraine Evans,Male,53,Sales,Executive,,PhD,Married,4/11/2016,6/26/2020,Active,,Average,8,10,Yes
7638,John Hawkins,Male,45,HR,Analyst,51292,Bachelors,Divorced,2/28/2023,,Active,,Below Average,10,15,No
4931,Michael Huerta,Male,52,Operations,Manager,42803,PhD,Single,7/21/2016,,Active,,Average,9,13,No
9420,Don Anderson,Female,51,Finance,Analyst,102487,PhD,Married,1/20/2018,6/11/2023,Resigned,Termination,Below Average,1,13,No
5003,Andrew Cohen,Other,60,IT,Coordinator,81068,Masters,Married,2/24/2018,10/16/2023,Active,,Average,7,6,No
8309,Scott Scott,Other,46,HR,Manager,41746,Masters,Divorced,8/12/2022,4/21/2024,Resigned,Better Opportunity,Below Average,0,5,No
1139,Debra Edwards,Male,56,IT,Coordinator,79903,Bachelors,Single,7/17/2015,11/10/2017,Terminated,Personal Reasons,Good,1,3,No
2343,Mrs. Jaime Brown,Male,60,Admin,Lead,110828,Bachelors,Married,10/6/2020,3/22/2021,Terminated,Career Change,Below Average,5,14,No
5934,Brent Hernandez,Other,58,IT,Analyst,72030,Bachelors,Married,1/18/2021,,Active,,Below Average,5,5,No
6901,John Williams,Female,43,HR,Lead,56188,Bachelors,Divorced,8/28/2023,,Active,,Excellent,7,12,Yes
9959,Jessica Allen,Female,51,IT,Coordinator,69692,Bachelors,Married,3/26/2023,,Active,,Below Average,6,2,No
1728,Kelsey Delacruz,Other,46,Sales,Analyst,100373,High School,Single,2/2/2021,,Active,,Average,2,11,Yes
1563,Tyler Johnson,Female,47,HR,Manager,42924,Masters,Single,1/12/2024,,Active,,Poor,8,10,Yes
1488,Ryan Stone,Other,29,Operations,Manager,93277,High School,Married,12/20/2023,,Active,,Excellent,1,14,Yes
5244,April Martin,Female,50,HR,Assistant,89303,Masters,Single,1/22/2022,,Active,,Excellent,0,14,No
2974,Krystal Craig,Male,53,IT,Lead,50989,Masters,Divorced,1/3/2017,,Active,,Below Average,3,13,No
8434,Jason Holt,Other,59,Finance,Assistant,107621,PhD,Married,5/7/2018,7/10/2018,Active,,Good,4,13,Yes
4456,Geoffrey Clark,Male,49,HR,Analyst,117910,PhD,Divorced,7/10/2017,,Active,,Average,9,7,No
9153,Richard Martinez,Other,39,HR,Coordinator,47556,Masters,Single,3/23/2022,9/23/2024,Active,,Good,5,12,Yes
7374,Amber Sanford,Male,51,IT,Lead,51871,PhD,Married,12/17/2023,2/16/2025,Terminated,Personal Reasons,Poor,0,14,No
9501,Sarah Shelton,Other,52,Admin,Assistant,119744,PhD,Married,10/11/2022,,Active,,Below Average,7,3,Yes
2932,Brenda Vega,Male,54,Marketing,Executive,89942,PhD,Divorced,7/31/2022,,Active,,Poor,1,5,No
2087,Lindsay Butler,Male,47,HR,Coordinator,115678,Bachelors,Married,9/27/2019,,Active,,Excellent,7,5,No
7232,Anthony Dickerson,Male,33,Operations,Coordinator,109988,PhD,Single,6/18/2019,,Active,,Good,3,13,Yes
6552,Christopher Doyle,Other,38,Marketing,Lead,65041,High School,Single,5/5/2018,,Active,,Below Average,0,5,Yes
4157,David Townsend,Male,45,Admin,Executive,105684,Masters,Divorced,8/27/2019,,Active,,Below Average,1,11,Yes
6269,Paul Ball,Female,51,Operations,Lead,30324,High School,Divorced,6/21/2017,,Active,,Average,1,13,No
7816,Amber Rhodes,Female,41,IT,Lead,93614,Masters,Divorced,1/10/2018,,Active,,Excellent,1,11,No
8566,John West,Female,32,IT,Coordinator,69566,Bachelors,Married,8/6/2020,10/28/2023,Terminated,Better Opportunity,Excellent,5,11,Yes
8188,Ronnie Porter,Female,25,hr,Manager,57973,PhD,Single,3/28/2020,3/18/2021,Active,,Poor,10,8,Yes
2941,Taylor Freeman,Female,24,Finance,Assistant,41708,High School,Single,6/11/2018,,Active,,Average,2,7,Yes
9465,Jessica Santana,Other,30,Admin,Analyst,57925,Bachelors,Married,8/23/2020,,Active,,Below Average,3,2,Yes
8695,Steven Romero,Female,40,IT,Executive,66302,High School,Single,5/17/2016,,Active,,Poor,9,5,Yes
3464,Tracy Cameron,Other,32,R&D,Analyst,114694,High School,Single,10/16/2021,,Active,,Excellent,3,8,Yes
8410,Sierra Rasmussen,Male,44,r&d,Analyst,101612,Bachelors,Married,1/10/2019,,Active,,Excellent,0,10,Yes
4705,Debbie Mckenzie,Female,60,R&D,Assistant,82727,High School,Divorced,5/8/2020,,Active,,Poor,2,5,Yes
8426,Todd Johnston,Other,40,R&D,Lead,113138,High School,Married,2/21/2021,,Active,,Good,0,4,Yes
1806,Rachel Lynch,Other,31,HR,Manager,47984,High School,Single,6/10/2017,,Active,,Average,8,9,No
4452,Sarah Young,Male,21,Operations,Assistant,65649,High School,Married,11/16/2020,,Active,,Poor,10,2,No
1024,Amanda Fox,Female,30,Marketing,Manager,105223,High School,Single,10/19/2018,,Active,,Excellent,0,14,Yes
9128,Peter Leach,Male,55,R&D,Executive,72179,Bachelors,Married,2/8/2024,,Active,,Average,4,14,Yes
1069,Matthew Soto,Male,53,sales,Assistant,39034,PhD,Married,9/1/2021,,Active,,Average,5,2,No
4548,,Female,43,Admin,Executive,101638,Bachelors,Single,8/17/2017,7/8/2020,Terminated,Career Change,Good,8,6,Yes
8896,Sarah Smith,Other,39,HR,Executive,99443,Bachelors,Married,6/13/2018,,Active,,Excellent,2,12,No
3674,Thomas Wagner,Other,43,Admin,Coordinator,41128,High School,Divorced,2/7/2022,12/6/2024,Terminated,Career Change,Poor,9,1,No
6046,Christopher Gutierrez,Female,40,Operations,Assistant,65645,Bachelors,Single,7/29/2022,,Active,,Good,9,2,Yes
9597,Danielle Rasmussen,Female,33,Admin,Analyst,90731,Masters,Single,6/22/2021,9/4/2024,Resigned,Better Opportunity,Poor,0,4,No
8215,Joshua Lewis,Male,39,Marketing,Executive,34073,PhD,Married,5/29/2019,,Active,,Poor,3,2,No
7237,Ann Clements,Male,28,Finance,Assistant,78790,High School,Divorced,1/22/2018,,Active,,Excellent,0,2,Yes
7718,Linda Sherman,Female,27,Sales,Assistant,36637,Bachelors,Divorced,12/14/2015,,Active,,Below Average,7,1,No
4115,Joshua Berg,Female,48,IT,Manager,110492,Bachelors,Divorced,8/31/2019,12/9/2024,Terminated,Retirement,Below Average,0,2,No
1729,Jose Johnson,Male,60,Sales,Assistant,77069,PhD,Divorced,5/2/2018,,Active,,Average,9,9,No
6413,Russell Horton,Female,23,Admin,Lead,76849,Bachelors,Single,8/28/2017,8/19/2022,Resigned,Lack of Growth,Average,8,14,Yes
1330,Ryan Evans,Female,42,IT,Executive,61005,Masters,Divorced,11/8/2020,,Active,,Poor,0,12,No
3633,Christina Orozco,Female,54,Marketing,Executive,94282,High School,Single,5/20/2020,10/4/2024,Resigned,Lack of Growth,Excellent,8,8,Yes
9962,Lisa Church,Male,40,Sales,Manager,49360,Bachelors,Single,1/16/2017,,Active,,Average,1,6,No
9894,Robert Li,Other,47,Admin,Coordinator,71586,Bachelors,Divorced,8/24/2020,,Active,,Poor,5,4,Yes
3509,Richard Johnson,Male,56,R&D,Lead,34244,Bachelors,Divorced,4/17/2023,,Active,,Poor,3,11,Yes
1004,Pamela Daniel,Female,30,HR,Coordinator,117821,Masters,Married,6/20/2019,2/20/2021,Active,,Good,1,6,No
5899,Christine Hayden,Female,30,R&D,Assistant,79638,Masters,Divorced,10/11/2016,,Active,,Below Average,9,11,Yes
7353,Peter Williams,Female,36,HR,Manager,74801,Bachelors,Married,10/22/2021,9/26/2024,Active,,Poor,1,6,No
7341,Veronica Perry,Female,30,Sales,Manager,73397,Bachelors,Single,2/21/2018,,Active,,Poor,8,5,No
4254,Keith Garcia,Female,29,sales,Analyst,30500,PhD,Single,11/16/2023,3/28/2024,Resigned,Termination,Poor,7,4,Yes
6411,Danny Lyons,Female,45,Admin,Assistant,116643,Masters,Single,12/16/2018,,Active,,Below Average,2,6,No
6682,Cheryl Morgan,Male,37,Sales,Executive,117486,High School,Single,8/16/2017,,Active,,Poor,6,13,Yes
5997,Juan Franco,Other,50,Finance,Assistant,69171,High School,Married,2/26/2018,,Active,,Excellent,8,10,Yes
3192,Kimberly Banks,Male,32,IT,Manager,85492,High School,Divorced,7/25/2016,,Active,,Good,9,5,No
